CGC2.1.t1	CGC2.1
CGC2.160.t1	mps-3
CGC2.161.t1	Y18H1A.9
CGC2.162.t1	Y18H1A.15
CGC2.163.t1	pif-1
CGC2.164.t1	CBG25171
CGC2.164.t3	CBG25171
CGC2.164.t2	CBG25171
CGC2.165.t1	hgap-1
CGC2.165.t2	hgap-1
CGC2.166.t1	Y18H1A.2
CGC2.167.t1	Y18H1A.4
CGC2.168.t1	Y18H1A.11
CGC2.169.t1	eme-1
CGC2.170.t1	Y65B4A.6
CGC2.171.t1	vps-20
CGC2.172.t1	Y65B4A.2
CGC2.173.t1	Y65B4A.7
CGC2.174.t1	T14F9.2.1
CGC2.175.t1	zfh-2
CGC2.176.t1	mig-1
CGC2.176.t2	mig-1
CGC2.177.t1	cutl-20
CGC2.178.t1	shc-1
CGC2.179.t1	col-46
CGC2.180.t1	prhg-1
CGC2.181.t1	nas-30
CGC2.181.t2	nas-30
CGC2.182.t1	lpr-1
CGC2.183.t1	Y65B4BR.1
CGC2.184.t1	ceh-9
CGC2.185.t1	grl-16
CGC2.185.t2	grl-16
CGC2.186.t1	ptr-21
CGC2.186.t2	ptr-21
CGC2.187.t1	wwp-1
CGC2.188.t1	icd-2
CGC2.188.t2	icd-2
CGC2.189.t1	psf-3
CGC2.190.t1	Y65B4BL.6
CGC2.191.t1	Y65B4BM.3
CGC2.192.t1	Y65B4BL.1
CGC2.193.t1	acs-13
CGC2.193.t2	acs-13
CGC2.194.t1	Y65B4BL.7
CGC2.195.t1	CGC2.195
CGC2.196.t1	ptr-11
CGC2.197.t1	CGC2.197
CGC2.198.t1	bli-3
CGC2.199.t1	F53G12.18
CGC2.200.t1	F53G12.4
CGC2.201.t1	mex-3
CGC2.201.t2	mex-3
CGC2.201.t3	mex-3
CGC2.201.t4	mex-3
CGC2.202.t1	spe-8
CGC2.202.t2	spe-8
CGC2.203.t1	rnp-8.2
CGC2.204.t1	CGC2.204
CGC2.205.t1	Y48G1A.1
CGC2.206.t1	Y48G1A.2
CGC2.207.t1	cutl-13
CGC2.208.t1	W04C9.9
CGC2.209.t1	W04C9.6
CGC2.210.t1	W04C9.2
CGC2.211.t1	haf-4
CGC2.212.t1	Y65B4BL.3
CGC2.213.t1	Y65B4BL.4
CGC2.213.t2	Y65B4BL.4
CGC2.214.t1	deps-1
CGC2.215.t1	cest-27
CGC2.216.t1	F56C11.5
CGC2.216.t2	F56C11.5
CGC2.217.t1	F56C11.3
CGC2.218.t1	atm-1
CGC2.219.t1	CBG30917
CGC2.220.t1	athp-3
CGC2.221.t1	Y48G1BL.7
CGC2.222.t1	Y48G1BR.1
CGC2.223.t1	CGC2.223
CGC2.224.t1	marc-4
CGC2.225.t1	F26H9.5
CGC2.226.t1	uggt-2
CGC2.227.t1	hsp-70
CGC2.228.t1	cbl-1
CGC2.229.t1	lin-41
CGC2.229.t2	lin-41
CGC2.230.t1	CBG29808
CGC2.231.t1	spp-17
CGC2.232.t1	spp-23.2
CGC2.233.t1	spp-23.1
CGC2.234.t1	mrpl-38
CGC2.235.t1	spd-1
CGC2.236.t1	Y34D9A.3
CGC2.237.t1	Y34D9A.7
CGC2.237.t2	Y34D9A.7
CGC2.238.t1	glrx-10
CGC2.239.t1	iglr-3
CGC2.240.t1	CBG29810
CGC2.240.t2	CBG29810
CGC2.241.t1	pcyt-2.1
CGC2.242.t1	eif-2alpha
CGC2.243.t1	phb-1
CGC2.244.t1	Y37E3.8
CGC2.245.t1	rla-1
CGC2.246.t1	arl-13
CGC2.246.t2	arl-13
CGC2.247.t1	moag-4
CGC2.248.t1	rpb-10
CGC2.249.t1	Y37E3.1
CGC2.250.t1	CBG22049
CGC2.251.t1	crtc-1
CGC2.251.t2	crtc-1
CGC2.252.t1	CBG29811
CGC2.253.t1	Y50C1A.2
CGC2.254.t1	C07F11.2
CGC2.255.t1	tol-1
CGC2.256.t1	dyf-11
CGC2.257.t1	W04C9.4
CGC2.258.t1	C53D5.5
CGC2.259.t1	imb-3
CGC2.259.t2	imb-3
CGC2.260.t1	xpo-2
CGC2.261.t1	nol-14
CGC2.262.t1	daf-25
CGC2.263.t1	W04C9.5
CGC2.264.t1	CBG25181
CGC2.265.t1	ztf-3
CGC2.266.t1	CGC2.266
CGC2.267.t1	CGC2.267
CGC2.268.t1	CGC2.268
CGC2.269.t1	C53D5.1
CGC2.270.t1	gap-3
CGC2.271.t1	CBG22077
CGC2.271.t2	CBG22077
CGC2.272.t1	M04C9.2.2
CGC2.273.t1	CBG29960
CGC2.274.t1	gsa-1
CGC2.275.t1	CGC2.275
CGC2.276.t1	vps-4
CGC2.277.t1	npr-23
CGC2.278.t1	Y34D9A.8
CGC2.278.t2	Y34D9A.8
CGC2.279.t1	CGC2.279
CGC2.280.t1	R06A10.1
CGC2.281.t1	R06A10.5
CGC2.282.t1	R06A10.4
CGC2.283.t1	npp-13
CGC2.284.t1	Y37E3.19
CGC2.285.t1	CBG29866
CGC2.286.t1	fpn-1.1
CGC2.287.t1	Y37E3.17
CGC2.287.t2	Y37E3.17
CGC2.287.t3	Y37E3.17
CGC2.287.t4	Y37E3.17
CGC2.288.t1	C06A5.8
CGC2.288.t2	C06A5.8
CGC2.289.t3	ints-1
CGC2.289.t1	ints-1
CGC2.289.t2	ints-1
CGC2.290.t1	csn-2
CGC2.291.t1	CBG22098
CGC2.292.t1	CGC2.292
CGC2.293.t1	B0025.5
CGC2.294.t1	B0025.4
CGC2.295.t2	vps-34
CGC2.295.t3	vps-34
CGC2.295.t1	vps-34
CGC2.296.t1	let-391
CGC2.297.t1	szy-5
CGC2.298.t1	madf-6
CGC2.299.t1	hmbx-1
CGC2.300.t1	C54G6.3
CGC2.301.t1	C54G6.2
CGC2.302.t1	CBG29813
CGC2.303.t1	CBG22111
CGC2.303.t2	CBG22111
CGC2.303.t3	CBG22111
CGC2.304.t1	F13E9.5
CGC2.305.t1	R119.2
CGC2.306.t1	R119.3
CGC2.307.t1	pqn-59
CGC2.308.t1	taf-4
CGC2.309.t1	CBG25437
CGC2.310.t1	R119.5
CGC2.310.t2	R119.5
CGC2.311.t1	fbxc-58.1
CGC2.312.t1	otub-2
CGC2.313.t1	CBG22121
CGC2.313.t2	CBG22121
CGC2.314.t1	CBG22122
CGC2.315.t1	CGC2.315
CGC2.316.t1	CBG22125
CGC2.317.t1	Y51F10.4
CGC2.318.t1	hex-4
CGC2.319.t1	trpp-10
CGC2.320.t1	Y51F10.7
CGC2.321.t1	CBG22131
CGC2.322.t1	Y51F10.3
CGC2.323.t1	Y51F10.11
CGC2.324.t1	spe-48
CGC2.324.t2	spe-48
CGC2.325.t1	Y51F10.2
CGC2.326.t1	mab-20
CGC2.327.t2	fbxc-58.2
CGC2.327.t1	fbxc-58.2
CGC2.328.t1	Y71G12B.32
CGC2.329.t1	CGC2.329
CGC2.330.t1	Y71G12B.5
CGC2.331.t1	CGC2.331
CGC2.332.t1	Y116F11B.14
CGC2.332.t2	Y116F11B.14
CGC2.333.t1	Y71G12B.17
CGC2.334.t1	Y71G12B.23
CGC2.335.t1	Y71G12B.35
CGC2.336.t1	drag-1
CGC2.337.t1	Y71G12B.31
CGC2.338.t1	ubc-3
CGC2.339.t1	Y71G12B.13
CGC2.339.t2	Y71G12B.13
CGC2.339.t3	Y71G12B.13
CGC2.339.t4	Y71G12B.13
CGC2.340.t1	atg-5
CGC2.341.t1	tln-1
CGC2.342.t1	pqn-88
CGC2.343.t1	CBG22156
CGC2.344.t1	cpx-1
CGC2.345.t1	aatf-1
CGC2.346.t1	Y73E7A.6
CGC2.347.t1	adpr-1
CGC2.348.t1	Y73E7A.8
CGC2.349.t1	CBG25185
CGC2.350.t1	Y73E7A.1
CGC2.351.t1	bre-4
CGC2.352.t1	Y71G12B.26
CGC2.353.t1	Y71G12B.25
CGC2.354.t1	ddx-27
CGC2.355.t1	lin-65
CGC2.355.t2	lin-65
CGC2.356.t1	Y71G12B.10
CGC2.357.t1	mppa-1
CGC2.358.t1	C26B9.6.2
CGC2.359.t1	C26B9.6.3
CGC2.360.t1	CGC2.360
CGC2.361.t1	CGC2.361
CGC2.362.t1	CGC2.362
CGC2.363.t1	CGC2.363
CGC2.364.t1	CGC2.364
CGC2.364.t2	CGC2.364
CGC2.365.t1	CBG22179
CGC2.366.t1	M04C9.3
CGC2.367.t1	dyf-5
CGC2.368.t1	ppfr-1
CGC2.369.t1	rtcb-1
CGC2.370.t1	F16A11.1
CGC2.371.t1	F26A3.1
CGC2.372.t1	ncbp-2
CGC2.373.t1	CBG22195
CGC2.374.t1	CGC2.374
CGC2.375.t1	CBG22197
CGC2.376.t1	CGC2.376
CGC2.377.t1	pghm-1
CGC2.377.t2	pghm-1
CGC2.378.t1	CBG25186
CGC2.379.t1	Y71G12B.3
CGC2.380.t1	chaf-2
CGC2.381.t1	CBG22205
CGC2.382.t1	CBG22207
CGC2.383.t1	nlp-12
CGC2.384.t1	emr-1
CGC2.385.t1	egl-30
CGC2.386.t1	rpl-27
CGC2.387.t1	C53H9.2
CGC2.388.t1	C53H9.3
CGC2.389.t1	CBG29814
CGC2.390.t1	W08F4.1
CGC2.391.t1	CGC2.391
CGC2.392.t1	CBG29815
CGC2.393.t1	CBG22216
CGC2.393.t2	CBG22216
CGC2.394.t1	tag-96
CGC2.395.t1	tub-2
CGC2.396.t1	scm-1
CGC2.397.t1	CGC2.397
CGC2.398.t1	mtm-1.2
CGC2.399.t1	CGC2.399
CGC2.400.t1	CGC2.400
CGC2.401.t1	Y71G12A.4
CGC2.401.t2	Y71G12A.4
CGC2.402.t1	Y71G12B.33
CGC2.403.t1	CBG22224
CGC2.403.t2	CBG22224
CGC2.404.t2	CGC2.404
CGC2.404.t1	CGC2.404
CGC2.405.t2	CBG25190
CGC2.405.t1	CBG25190
CGC2.406.t1	rml-5
CGC2.407.t1	Y71G12B.18
CGC2.408.t1	CBG22230
CGC2.409.t1	ain-2
CGC2.410.t1	ptps-1
CGC2.411.t1	B0041.5
CGC2.412.t1	B0041.8
CGC2.413.t1	rpl-4
CGC2.414.t1	lmd-2
CGC2.415.t1	Y119C1A.1
CGC2.416.t1	got-2.1
CGC2.417.t1	acbp-1
CGC2.418.t1	ssb-1
CGC2.419.t1	ubr-4.2
CGC2.419.t2	ubr-4.2
CGC2.419.t3	ubr-4.2
CGC2.419.t4	ubr-4.2
CGC2.419.t5	ubr-4.2
CGC2.420.t1	CBG22245
CGC2.421.t1	mrt-1.1
CGC2.422.t1	syp-3
CGC2.423.t1	Y119C1B.3
CGC2.424.t1	D1007.15
CGC2.424.t2	D1007.15
CGC2.425.t1	Y119C1B.10
CGC2.426.t1	pqn-24
CGC2.427.t1	D1007.13
CGC2.428.t1	Y92H12A.2
CGC2.429.t1	fog-1.2
CGC2.429.t2	fog-1.2
CGC2.430.t1	CGC2.430
CGC2.431.t1	src-1
CGC2.432.t1	CGC2.432
CGC2.433.t1	CGC2.433
CGC2.434.t1	Y73E7A.3
CGC2.434.t2	Y73E7A.3
CGC2.435.t1	C44E4.5
CGC2.435.t2	C44E4.5
CGC2.436.t1	D1007.8.3
CGC2.436.t2	D1007.8.3
CGC2.436.t3	D1007.8.3
CGC2.437.t1	eaf-1
CGC2.438.t1	nrd-1
CGC2.438.t2	nrd-1
CGC2.438.t3	nrd-1
CGC2.438.t4	nrd-1
CGC2.439.t1	D1007.19
CGC2.440.t1	D1007.10
CGC2.441.t1	rpl-24.1
CGC2.442.t1	rps-10
CGC2.443.t1	tmem-39
CGC2.444.t1	D1007.4
CGC2.445.t1	D1007.18
CGC2.446.t1	D1007.3
CGC2.447.t1	col-52
CGC2.448.t1	ceh-17
CGC2.449.t1	ints-3
CGC2.450.t1	Y92H12A.5
CGC2.451.t1	F37F2.2
CGC2.452.t1	spe-15
CGC2.453.t1	acs-16
CGC2.454.t1	dyb-1
CGC2.455.t1	CGC2.455
CGC2.456.t1	CGC2.456
CGC2.457.t1	CGC2.457
CGC2.458.t1	CGC2.458
CGC2.459.t1	CBG22289
CGC2.460.t1	CGC2.460
CGC2.461.t1	CBG22291
CGC2.462.t1	unc-57
CGC2.462.t2	unc-57
CGC2.462.t3	unc-57
CGC2.462.t4	unc-57
CGC2.463.t1	xnp-1
CGC2.464.t1	F46B6.10
CGC2.465.t1	W09C3.4
CGC2.466.t1	chd-7
CGC2.466.t2	chd-7
CGC2.467.t1	CBG22298
CGC2.467.t2	CBG22298
CGC2.468.t1	W09C3.3
CGC2.469.t1	K12C11.6
CGC2.470.t1	K12C11.7
CGC2.471.t1	smo-1
CGC2.472.t1	K12C11.1
CGC2.473.t1	Y92H12BL.5
CGC2.474.t1	Y92H12BL.1
CGC2.475.t1	Y92H12BM.1
CGC2.476.t1	CBG15099
CGC2.476.t2	CBG15099
CGC2.477.t1	Y92H12BR.7
CGC2.478.t1	set-29
CGC2.479.t1	Y92H12BR.2
CGC2.480.t1	Y92H12BR.3
CGC2.481.t1	mrpl-15
CGC2.482.t1	CBG15093
CGC2.483.t2	gcy-28
CGC2.483.t1	gcy-28
CGC2.484.t1	hot-5
CGC2.485.t1	egg-6
CGC2.486.t1	CBG14868
CGC2.487.t1	CBG14869
CGC2.488.t1	K07A12.1
CGC2.489.t1	F39H2.3
CGC2.490.t1	mrpl-19
CGC2.491.t1	rnf-145
CGC2.492.t1	CBG14875
CGC2.493.t1	CBG14876
CGC2.494.t1	flp-22
CGC2.495.t1	CBG14975
CGC2.496.t1	zig-9
CGC2.497.t1	bet-1
CGC2.497.t2	bet-1
CGC2.497.t3	bet-1
CGC2.498.t1	Y119C1B.6
CGC2.499.t1	CBG25201
CGC2.500.t1	tom-1
CGC2.500.t2	tom-1
CGC2.501.t1	ostd-1
CGC2.502.t1	CBG25202
CGC2.503.t2	CGC2.503
CGC2.503.t1	CGC2.503
CGC2.504.t1	CGC2.504
CGC2.505.t1	pqn-52
CGC2.505.t2	pqn-52
CGC2.505.t3	pqn-52
CGC2.506.t1	CBG14892.3
CGC2.507.t1	ctnb-1
CGC2.508.t1	M01E11.1
CGC2.509.t1	F46F11.1
CGC2.509.t2	F46F11.1
CGC2.509.t3	F46F11.1
CGC2.509.t4	F46F11.1
CGC2.509.t5	F46F11.1
CGC2.509.t6	F46F11.1
CGC2.510.t1	T14F9.2.4
CGC2.511.t1	F46F11.8
CGC2.512.t1	F46F11.10
CGC2.513.t1	F46F11.7
CGC2.514.t1	xrep-4
CGC2.515.t1	trpp-8
CGC2.515.t2	trpp-8
CGC2.516.t1	kin-35
CGC2.517.t1	vha-10
CGC2.518.t1	F59A3.2.2
CGC2.519.t1	ubl-5
CGC2.520.t1	tns-1
CGC2.521.t1	F42C5.5
CGC2.522.t1	CGC2.522
CGC2.523.t1	col-53
CGC2.524.t1	F55F8.8
CGC2.525.t1	zipt-2.4
CGC2.525.t2	zipt-2.4
CGC2.526.t1	T19B4.5
CGC2.527.t1	dnj-21
CGC2.528.t1	T19B4.3
CGC2.529.t1	unc-40
CGC2.529.t2	unc-40
CGC2.529.t3	unc-40
CGC2.529.t4	unc-40
CGC2.530.t1	npp-7
CGC2.530.t2	npp-7
CGC2.531.t1	pamn-1
CGC2.531.t2	pamn-1
CGC2.532.t1	ptr-10
CGC2.533.t1	mff-2
CGC2.534.t1	wdr-12
CGC2.535.t1	CBG29929
CGC2.535.t2	CBG29929
CGC2.536.t1	F55F8.3
CGC2.537.t1	F55F8.2
CGC2.538.t1	CGC2.538
CGC2.538.t2	CGC2.538
CGC2.539.t1	elo-8
CGC2.540.t1	Y47G6A.3
CGC2.540.t2	Y47G6A.3
CGC2.541.t1	lpd-3
CGC2.541.t2	lpd-3
CGC2.541.t3	lpd-3
CGC2.541.t4	lpd-3
CGC2.542.t1	Y47G6A.33
CGC2.543.t1	Y47G6A.22
CGC2.544.t1	Y47G6A.21
CGC2.545.t1	rde-10
CGC2.546.t1	rnp-6
CGC2.547.t1	Y47G6A.5
CGC2.548.t1	Y47G6A.19
CGC2.548.t2	Y47G6A.19
CGC2.549.t1	pcaf-1
CGC2.549.t2	pcaf-1
CGC2.550.t1	Y47G6A.18
CGC2.551.t1	Y47G6A.7
CGC2.551.t2	Y47G6A.7
CGC2.552.t1	ccep-290
CGC2.553.t1	CBG14943
CGC2.554.t1	fer-1
CGC2.555.t1	crn-1
CGC2.556.t1	Y47G6A.9
CGC2.556.t2	Y47G6A.9
CGC2.557.t1	spg-7
CGC2.558.t1	CBG29821
CGC2.559.t1	CBG14949
CGC2.560.t1	W05F2.4
CGC2.560.t2	W05F2.4
CGC2.560.t3	W05F2.4
CGC2.560.t4	W05F2.4
CGC2.561.t1	cdk-2
CGC2.562.t1	clik-3
CGC2.562.t2	clik-3
CGC2.563.t1	neto-1
CGC2.563.t2	neto-1
CGC2.564.t1	sep-1
CGC2.565.t2	nefr-1
CGC2.566.t1	Y47G6A.13
CGC2.565.t1	nefr-1
CGC2.567.t1	msh-6
CGC2.567.t2	msh-6
CGC2.568.t1	fog-1.1
CGC2.569.t1	W05F2.6
CGC2.569.t2	W05F2.6
CGC2.570.t1	W05F2.3
CGC2.571.t1	W05F2.7
CGC2.572.t1	ace-2
CGC2.573.t1	CBG14966
CGC2.574.t1	edc-4
CGC2.574.t2	edc-4
CGC2.575.t1	Y44E3A.1
CGC2.576.t1	cdap-2
CGC2.576.t2	cdap-2
CGC2.577.t1	trx-4
CGC2.578.t1	CGC2.578
CGC2.578.t2	CGC2.578
CGC2.579.t1	CGC2.579
CGC2.580.t1	W01B11.6
CGC2.581.t1	sulp-6
CGC2.582.t1	CBG25216
CGC2.583.t1	rom-5
CGC2.583.t2	rom-5
CGC2.584.t1	cdt-1
CGC2.585.t1	txl-1
CGC2.586.t1	cogc-1
CGC2.587.t1	mab-31
CGC2.588.t2	tyr-5
CGC2.588.t1	tyr-5
CGC2.589.t1	nol-58
CGC2.590.t1	pqn-72
CGC2.590.t2	pqn-72
CGC2.591.t1	ctn-1
CGC2.592.t1	spe-47
CGC2.593.t1	pid-3
CGC2.594.t1	Y23H5A.2
CGC2.595.t1	cars-1
CGC2.596.t1	mage-1
CGC2.597.t1	htp-3
CGC2.598.t1	tofu-4
CGC2.599.t1	F40E3.5
CGC2.600.t1	Y71F9B.13
CGC2.601.t1	sop-3
CGC2.602.t1	Y71F9B.1
CGC2.603.t1	Y71F9B.9
CGC2.604.t1	plk-2
CGC2.605.t1	CGC2.605
CGC2.606.t1	CGC2.606
CGC2.607.t1	lron-11
CGC2.608.t1	Y71F9B.2
CGC2.609.t1	yop-1
CGC2.610.t1	CGC2.610
CGC2.611.t1	snr-7
CGC2.612.t1	Y71F9B.6
CGC2.612.t2	Y71F9B.6
CGC2.613.t1	dnj-30
CGC2.614.t1	lin-17
CGC2.615.t1	F32B5.2
CGC2.616.t1	CGC2.616
CGC2.617.t1	F32B5.6
CGC2.617.t2	F32B5.6
CGC2.618.t1	F32B5.7
CGC2.618.t2	F32B5.7
CGC2.619.t1	cpz-1
CGC2.620.t1	Y71F9B.15
CGC2.621.t1	CBG25255
CGC2.622.t1	W03D8.8
CGC2.623.t1	ZK973.8
CGC2.624.t1	C25G4.8
CGC2.625.t1	itx-1
CGC2.625.t2	itx-1
CGC2.626.t1	W03D8.5
CGC2.627.t2	W03D8.11
CGC2.627.t1	W03D8.11
CGC2.628.t1	W01B11.1
CGC2.629.t1	pop-1
CGC2.629.t2	pop-1
CGC2.630.t1	W10C8.4
CGC2.631.t1	W10C8.5
CGC2.632.t1	W10C8.6
CGC2.633.t1	Y71F9AL.10
CGC2.633.t2	Y71F9AL.10
CGC2.634.t1	Y71F9AL.12
CGC2.635.t1	rpl-1
CGC2.636.t1	Y71F9AL.9
CGC2.637.t1	Y71F9AL.8
CGC2.637.t2	Y71F9AL.8
CGC2.638.t1	dnc-5
CGC2.639.t1	arx-1
CGC2.640.t1	CGC2.640
CGC2.641.t1	copa-1
CGC2.642.t1	CGC2.642
CGC2.643.t1	parp-1
CGC2.644.t1	Y71F9AL.1
CGC2.645.t1	trap-1
CGC2.646.t1	nxt-1
CGC2.647.t1	cogc-3
CGC2.647.t2	cogc-3
CGC2.647.t3	cogc-3
CGC2.648.t1	Y71F9AR.10
CGC2.649.t1	syp-4
CGC2.650.t1	CBG04213
CGC2.651.t1	bam-2
CGC2.652.t1	gska-3
CGC2.651.t2	bam-2
CGC2.653.t1	C45E1.4
CGC2.654.t1	CBG29825
CGC2.655.t1	C45E1.5
CGC2.656.t1	nhr-64
CGC2.657.t1	riok-1
CGC2.658.t1	M01B12.4
CGC2.658.t2	M01B12.4
CGC2.658.t3	M01B12.4
CGC2.658.t4	M01B12.4
CGC2.659.t1	arx-7
CGC2.660.t1	pign-1
CGC2.661.t1	ztf-23
CGC2.662.t1	CBG10330
CGC2.663.t1	mod-5
CGC2.664.t1	Y54E10BR.2
CGC2.665.t1	rpb-7
CGC2.666.t1	sec-11.1
CGC2.667.t1	Y54E10BR.3
CGC2.668.t1	Y54E10BR.4
CGC2.668.t2	Y54E10BR.4
CGC2.669.t1	mek-2
CGC2.670.t1	col-48
CGC2.671.t1	nduf-5
CGC2.672.t1	dnj-28
CGC2.672.t2	dnj-28
CGC2.673.t1	supr-1
CGC2.674.t1	Y71F9AR.2
CGC2.675.t1	Y71F9AR.4
CGC2.676.t1	CGC2.676
CGC2.677.t1	col-49
CGC2.678.t1	K09H9.8
CGC2.679.t1	CGC2.679
CGC2.680.t2	CBG04180
CGC2.680.t1	CBG04180
CGC2.681.t1	R11E3.1.2
CGC2.682.t1	K09H9.5
CGC2.683.t1	lpd-6
CGC2.683.t2	lpd-6
